"","Comparison..group1.group2.","Group","ProteinGroups","AVG.Log2.Ratio","Absolute.AVG.Log2.Ratio","Pvalue","Qvalue","X..of.Ratios","UniProtIds","Genes","ProteinDescriptions","ProteinNames","X..Unique.Total.Peptides","X..Change","Ratio","Condition.Numerator","Condition.Denominator","GO.Cellular.Component","GO.Molecular.Function","GO.Biological.Process","minuslogqval","Color"
"2296","HER2 / DF","P51648","P51648",-0.962060651,0.962060651,8.92e-07,1.36e-06,238,"P51648","ALDH3A2","Fatty aldehyde dehydrogenase","AL3A2_HUMAN",20,-48.66768077,0.513323192,"HER2","DF","mitochondrial inner membrane,peroxisomal membrane,endoplasmic reticulum membrane,integral component of membrane,intracellular membrane-bounded organelle,extracellular exosome","3-chloroallyl aldehyde dehydrogenase activity,aldehyde dehydrogenase (NAD) activity,aldehyde dehydrogenase [NAD(P)+] activity,long-chain-alcohol oxidase activity","fatty acid alpha-oxidation,cellular aldehyde metabolic process,central nervous system development,peripheral nervous system development,epidermis development,sphingolipid biosynthetic process,phytol metabolic process,oxidation-reduction process",5.86646109162978,"Blue"
"2297","Meta / DF","O96008","O96008",2.547260325,2.547260325,6.94e-07,1.39e-06,210,"O96008","TOMM40","Mitochondrial import receptor subunit TOM40 homolog","TOM40_HUMAN",19,484.5232154,5.845232154,"Meta","DF","nucleoplasm,cytoplasm,mitochondrion,mitochondrial outer membrane,mitochondrial outer membrane translocase complex,integral component of membrane,integral component of mitochondrial outer membrane,pore complex,extracellular exosome","protein transmembrane transporter activity,protein channel activity,porin activity","protein targeting to mitochondrion,ion transport,macroautophagy,protein import into mitochondrial matrix",5.85698519974591,"Red"
"2298","ERPR / DF","P62826","P62826",1.489794868,1.489794868,8.09e-07,1.4e-06,308,"P62826","RAN","GTP-binding nuclear protein Ran","RAN_HUMAN",19,180.8490393,2.808490393,"ERPR","DF","nucleus,nuclear pore,nucleoplasm,nucleolus,cytoplasm,centriole,cytosol,cell-cell adherens junction,membrane,midbody,extracellular matrix,melanosome,RNA nuclear export complex,recycling endosome,extracellular exosome,Flemming body,chromatin","chromatin binding,transcription coactivator activity,GTPase activity,protein binding,GTP binding,GDP binding,poly(A) RNA binding,androgen receptor binding,cadherin binding involved in cell-cell adhesion,protein transmembrane transporter activity,pre-miRNA binding,pre-miRNA transporter activity","ribosomal large subunit export from nucleus,ribosomal small subunit export from nucleus,protein import into nucleus, translocation,DNA metabolic process,tRNA export from nucleus,protein import into nucleus,protein export from nucleus,mitotic spindle organization,mitotic nuclear division,signal transduction,small GTPase mediated signal transduction,viral process,androgen receptor signaling pathway,gene silencing by RNA,positive regulation of protein binding,pre-miRNA export from nucleus,positive regulation of transcription, DNA-templated,cell division,protein transmembrane transport,intracellular transport of virus,cell-cell adhesion,protein localization to nucleolus",5.85387196432176,"Red"
"2299","ERPR / DF","Q9Y3B3","Q9Y3B3",-0.78148509,0.78148509,8.1e-07,1.4e-06,112,"Q9Y3B3","TMED7","Transmembrane emp24 domain-containing protein 7","TMED7_HUMAN",9,-41.82323784,0.581767622,"ERPR","DF","Golgi membrane,endoplasmic reticulum,endoplasmic reticulum membrane,endoplasmic reticulum-Golgi intermediate compartment,Golgi apparatus,integral component of membrane,COPI vesicle coat,COPII vesicle coat,transport vesicle,endoplasmic reticulum-Golgi intermediate compartment membrane,extracellular exosome","","ER to Golgi vesicle-mediated transport,retrograde vesicle-mediated transport, Golgi to ER,protein transport",5.85387196432176,"Blue"
"2300","TN / DF","O95433","O95433",2.046646998,2.046646998,9.09e-07,1.4e-06,322,"O95433","AHSA1","Activator of 90 kDa heat shock protein ATPase homolog 1","AHSA1_HUMAN",29,313.1446534,4.131446534,"TN","DF","cytoplasm,endoplasmic reticulum,cytosol,cell-cell adherens junction,extracellular exosome","ATPase activator activity,protein binding,chaperone binding,cadherin binding involved in cell-cell adhesion","response to stress,positive regulation of ATPase activity,cell-cell adhesion",5.85387196432176,"Red"
"2301","TN / DF","P63096","P63096",-1.330254611,1.330254611,9.35e-07,1.44e-06,98,"P63096","GNAI1","Guanine nucleotide-binding protein G(i) subunit alpha-1","GNAI1_HUMAN",6,-60.23019513,0.397698049,"TN","DF","nucleus,cytoplasm,lysosomal membrane,centrosome,heterotrimeric G-protein complex,plasma membrane,midbody,membrane raft,extracellular exosome","magnesium ion binding,G-protein coupled receptor binding,GTPase activity,signal transducer activity,protein binding,GTP binding,GDP binding,G-protein beta/gamma-subunit complex binding,G-protein coupled serotonin receptor binding,GTPase activating protein binding","protein folding,cell cycle,G-protein coupled receptor signaling pathway,adenylate cyclase-modulating G-protein coupled receptor signaling pathway,adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway,response to peptide hormone,regulation of cAMP-mediated signaling,negative regulation of synaptic transmission,cell division,cellular response to forskolin",5.84163750790475,"Blue"
"2302","Meta / DF","Q15075","Q15075",0.921188935,0.921188935,7.25e-07,1.44e-06,854,"Q15075","EEA1","Early endosome antigen 1","EEA1_HUMAN",93,89.36752416,1.893675242,"Meta","DF","cytoplasm,early endosome,cytosol,serine-pyruvate aminotransferase complex,membrane,extrinsic component of plasma membrane,cytoplasmic vesicle,early endosome membrane,axonal spine,recycling endosome,extracellular exosome,presynapse","protein binding,calmodulin binding,1-phosphatidylinositol binding,zinc ion binding,GTP-dependent protein binding,protein homodimerization activity","endocytosis,vesicle fusion,synaptic vesicle to endosome fusion,viral RNA genome replication,early endosome to late endosome transport",5.84163750790475,"Red"
"2303","ERPR / DF","P07339","P07339",1.312166219,1.312166219,8.37e-07,1.44e-06,588,"P07339","CTSD","Cathepsin D","CATD_HUMAN",29,148.314106,2.48314106,"ERPR","DF","extracellular region,extracellular space,lysosome,melanosome,lysosomal lumen,membrane raft,extracellular exosome,extracellular matrix","aspartic-type endopeptidase activity,cysteine-type endopeptidase activity,serine-type endopeptidase activity","proteolysis,autophagy,antigen processing and presentation of exogenous peptide antigen via MHC class II,protein catabolic process,collagen catabolic process",5.84163750790475,"Red"
"2304","TN / DF","P54108","P54108",-1.32602895,1.32602895,9.4e-07,1.45e-06,42,"P54108","CRISP3","Cysteine-rich secretory protein 3","CRIS3_HUMAN",5,-60.11353841,0.398864616,"TN","DF","extracellular region,proteinaceous extracellular matrix,extracellular space,specific granule,extracellular exosome","molecular_function","defense response,innate immune response",5.83863199776502,"Blue"
"2305","TN / DF","O75340","O75340",1.02766948,1.02766948,9.44e-07,1.45e-06,154,"O75340","PDCD6","Programmed cell death protein 6","PDCD6_HUMAN",13,103.8728242,2.038728242,"TN","DF","nucleus,cytoplasm,endosome,endoplasmic reticulum,endoplasmic reticulum membrane,cytoplasmic vesicle,nuclear membrane,extracellular exosome,endoplasmic reticulum exit site","calcium-dependent cysteine-type endopeptidase activity,calcium ion binding,protein binding,protein homodimerization activity,protein anchor,protein dimerization activity,calcium-dependent protein binding,binding, bridging","angiogenesis,positive regulation of endothelial cell proliferation,proteolysis,intracellular protein transport,activation of cysteine-type endopeptidase activity involved in apoptotic process,positive regulation of endothelial cell migration,negative regulation of vascular endothelial growth factor receptor signaling pathway,negative regulation of TOR signaling,cellular response to heat,vascular endothelial growth factor receptor-2 signaling pathway,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,positive regulation of angiogenesis,response to calcium ion,negative regulation of protein kinase B signaling,apoptotic signaling pathway",5.83863199776502,"Red"
"2306","TN / DF","P06681","P06681",1.477409146,1.477409146,9.47e-07,1.45e-06,336,"P06681","C2","Complement C2","CO2_HUMAN",27,178.4482347,2.784482347,"TN","DF","extracellular region,extracellular space,extracellular exosome","serine-type endopeptidase activity,metal ion binding","proteolysis,complement activation,complement activation, classical pathway,response to nutrient,regulation of complement activation,innate immune response,positive regulation of apoptotic cell clearance",5.83863199776502,"Red"
"2307","TN / DF","P12830","P12830",0.850805952,0.850805952,9.56e-07,1.47e-06,252,"P12830","CDH1","Cadherin-1","CADH1_HUMAN",20,80.35081616,1.803508162,"TN","DF","extracellular region,cytoplasm,endosome,trans-Golgi network,plasma membrane,cell-cell adherens junction,focal adhesion,cytoplasmic side of plasma membrane,actin cytoskeleton,integral component of membrane,aggresome,lateral plasma membrane,catenin complex,flotillin complex,lamellipodium,cell junction,apical junction complex,perinuclear region of cytoplasm,extracellular exosome,cortical actin cytoskeleton","glycoprotein binding,calcium ion binding,protein binding,beta-catenin binding,ankyrin binding,GTPase activating protein binding,gamma-catenin binding,cell adhesion molecule binding,cadherin binding involved in cell-cell adhesion","homophilic cell adhesion via plasma membrane adhesion molecules,synapse assembly,response to toxic substance,single organismal cell-cell adhesion,pituitary gland development,negative regulation of cell-cell adhesion,extracellular matrix disassembly,extracellular matrix organization,neuron projection development,adherens junction organization,response to drug,positive regulation of transcription factor import into nucleus,positive regulation of transcription, DNA-templated,cellular response to lithium ion,cellular response to indole-3-methanol,protein localization to plasma membrane,establishment of protein localization to plasma membrane",5.83268266525182,"Red"
"2308","HER2 / DF","P63241","P63241",1.188845038,1.188845038,9.72e-07,1.47e-06,350,"P63241","EIF5A","Eukaryotic translation initiation factor 5A-1","IF5A1_HUMAN",19,127.9701666,2.279701666,"HER2","DF","nucleus,annulate lamellae,nuclear pore,cytoplasm,endoplasmic reticulum membrane,cytosol,membrane,extracellular exosome","RNA binding,translation elongation factor activity,protein binding,U6 snRNA binding,ribosome binding,poly(A) RNA binding,protein N-terminus binding","mRNA export from nucleus,translational frameshifting,protein export from nucleus,nucleocytoplasmic transport,apoptotic process,positive regulation of cell proliferation,peptidyl-lysine modification to peptidyl-hypusine,positive regulation of translational elongation,positive regulation of translational termination",5.83268266525182,"Red"
"2309","TN / DF","Q9UGM3","Q9UGM3",-0.848993564,0.848993564,9.59e-07,1.47e-06,42,"Q9UGM3","DMBT1","Deleted in malignant brain tumors 1 protein","DMBT1_HUMAN",10,-44.48281066,0.555171893,"TN","DF","extracellular region,extracellular space,cytoplasm,extrinsic component of membrane,phagocytic vesicle membrane,zymogen granule membrane,extracellular exosome","scavenger receptor activity,protein binding,signaling pattern recognition receptor activity,zymogen binding,calcium-dependent protein binding","pattern recognition receptor signaling pathway,receptor-mediated endocytosis,multicellular organism development,protein transport,epithelial cell differentiation,induction of bacterial agglutination,cellular protein metabolic process,innate immune response,defense response to virus",5.83268266525182,"Blue"
"2310","HER2 / DF","P03951","P03951",-4.628755295,4.628755295,9.82e-07,1.48e-06,112,"P03951","F11","Coagulation factor XI","FA11_HUMAN",20,-95.95791154,0.040420885,"HER2","DF","extracellular region,extracellular space,plasma membrane,membrane,extracellular exosome","serine-type endopeptidase activity,protein binding,heparin binding,serine-type aminopeptidase activity","blood coagulation,blood coagulation, intrinsic pathway,plasminogen activation,positive regulation of fibrinolysis",5.82973828460504,"Blue"
"2311","TP / DF","P15559","P15559",-1.585982616,1.585982616,6.29e-07,1.49e-06,238,"P15559","NQO1","NAD(P)H dehydrogenase [quinone] 1","NQO1_HUMAN",17,-66.69022801,0.33309772,"TP","DF","cytoplasm,cytosol,neuronal cell body,extracellular exosome","NAD(P)H dehydrogenase (quinone) activity,cytochrome-b5 reductase activity, acting on NAD(P)H,superoxide dismutase activity,identical protein binding,poly(A) RNA binding","regulation of cellular amino acid metabolic process,xenobiotic metabolic process,nitric oxide biosynthetic process,synaptic transmission, cholinergic,aging,response to nutrient,response to toxic substance,removal of superoxide radicals,response to estradiol,negative regulation of apoptotic process,negative regulation of catalytic activity,positive regulation of neuron apoptotic process,response to ethanol,oxidation-reduction process",5.82681373158773,"Blue"
"2312","ERPR / DF","P07437","P07437",1.015679573,1.015679573,8.73e-07,1.5e-06,154,"P07437","TUBB","Tubulin beta chain","TBB5_HUMAN",8,102.1855052,2.021855052,"ERPR","DF","extracellular region,nucleus,nuclear envelope lumen,cytoskeleton,microtubule,extracellular matrix,cytoplasmic ribonucleoprotein granule,protein complex,cell body,extracellular exosome","GTPase activity,structural molecule activity,structural constituent of cytoskeleton,protein binding,GTP binding,protein domain specific binding,ubiquitin protein ligase binding,protein complex binding,GTPase activating protein binding,MHC class I protein binding","G2/M transition of mitotic cell cycle,movement of cell or subcellular component,microtubule-based process,cellular process,cytoskeleton-dependent intracellular transport,natural killer cell mediated cytotoxicity,spindle assembly,cell division",5.82390874094432,"Red"
"2313","ERPR / DF","P31997","P31997",-4.998696826,4.998696826,8.76e-07,1.5e-06,42,"P31997","CEACAM8","Carcinoembryonic antigen-related cell adhesion molecule 8","CEAM8_HUMAN",3,-96.87217594,0.031278241,"ERPR","DF","extracellular space,plasma membrane,integral component of plasma membrane,anchored component of membrane,extracellular exosome","protein binding","immune response,leukocyte migration",5.82390874094432,"Blue"
"2314","Meta / DF","Q16539","Q16539",1.327792417,1.327792417,7.65e-07,1.52e-06,196,"Q16539","MAPK14","Mitogen-activated protein kinase 14","MK14_HUMAN",15,151.0182777,2.510182777,"Meta","DF","spindle pole,nucleus,nucleoplasm,cytoplasm,mitochondrion,cytosol,extracellular exosome","protein serine/threonine kinase activity,MAP kinase activity,MAP kinase kinase activity,protein binding,ATP binding,enzyme binding,protein phosphatase binding,NFAT protein binding","DNA damage checkpoint,activation of MAPK activity,cell morphogenesis,cartilage condensation,angiogenesis,placenta development,chondrocyte differentiation,glucose metabolic process,transcription, DNA-templated,regulation of transcription from RNA polymerase II promoter,apoptotic process,movement of cell or subcellular component,chemotaxis,signal transduction,cell surface receptor signaling pathway,transmembrane receptor protein serine/threonine kinase signaling pathway,Ras protein signal transduction,skeletal muscle tissue development,positive regulation of gene expression,positive regulation of myotube differentiation,myoblast differentiation involved in skeletal muscle regeneration,peptidyl-serine phosphorylation,fatty acid oxidation,regulation of ossification,osteoclast differentiation,positive regulation of cyclase activity,lipopolysaccharide-mediated signaling pathway,response to muramyl dipeptide,intracellular signal transduction,cellular response to vascular endothelial growth factor stimulus,response to muscle stretch,p38MAPK cascade,positive regulation of protein import into nucleus,signal transduction in response to DNA damage,positive regulation of erythrocyte differentiation,positive regulation of myoblast differentiation,positive regulation of transcription from RNA polymerase II promoter,positive regulation of glucose import,vascular endothelial growth factor receptor signaling pathway,regulation of sequence-specific DNA binding transcription factor activity,striated muscle cell differentiation,positive regulation of muscle cell differentiation,positive regulation of cardiac muscle cell proliferation,3'-UTR-mediated mRNA stabilization,cellular response to lipopolysaccharide,cellular response to ionizing radiation,negative regulation of canonical Wnt signaling pathway,positive regulation of brown fat cell differentiation,stress-induced premature senescence,cellular response to virus,regulation of cytokine production involved in inflammatory response,positive regulation of myoblast fusion,regulation of signal transduction by p53 class mediator,positive regulation of reactive oxygen species metabolic process,positive regulation of interleukin-12 secretion,positive regulation of blood vessel endothelial cell migration",5.81815641205523,"Red"
"2315","Meta / DF","O15020","O15020",-0.785436461,0.785436461,7.67e-07,1.52e-06,644,"O15020","SPTBN2","Spectrin beta chain, non-erythrocytic 2","SPTN2_HUMAN",64,-41.9823591,0.580176409,"Meta","DF","extracellular space,cytoplasm,cytosol,cell-cell adherens junction,spectrin,apical plasma membrane,cell junction,neuronal cell body","actin binding,Ras guanyl-nucleotide exchange factor activity,structural constituent of cytoskeleton,phospholipid binding,cadherin binding involved in cell-cell adhesion","MAPK cascade,ER to Golgi vesicle-mediated transport,cytoskeleton organization,axon guidance,synapse assembly,vesicle-mediated transport,antigen processing and presentation of exogenous peptide antigen via MHC class II,cerebellar Purkinje cell layer morphogenesis,adult behavior,multicellular organism growth,positive regulation of GTPase activity,actin filament capping,cell-cell adhesion",5.81815641205523,"Blue"
"2316","Meta / DF","P06756","P06756",1.378412592,1.378412592,7.68e-07,1.52e-06,532,"P06756","ITGAV","Integrin alpha-V","ITAV_HUMAN",47,159.9821535,2.599821535,"Meta","DF","plasma membrane,integral component of plasma membrane,focal adhesion,integrin complex,external side of plasma membrane,cell surface,membrane,lamellipodium membrane,filopodium membrane,microvillus membrane,ruffle membrane,integrin alphav-beta3 complex,integrin alphav-beta5 complex,integrin alphav-beta8 complex,alphav-beta3 integrin-IGF-1-IGF1R complex,phagocytic vesicle,extracellular exosome","virus receptor activity,fibronectin binding,protease binding,voltage-gated calcium channel activity,protein binding,coreceptor activity,metal ion binding,transforming growth factor beta binding,extracellular matrix binding,extracellular matrix protein binding,opsonin binding,protein kinase C binding,fibroblast growth factor binding,C-X3-C chemokine binding,insulin-like growth factor I binding,neuregulin binding","angiogenesis,antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,cell adhesion,cell-matrix adhesion,integrin-mediated signaling pathway,positive regulation of cell proliferation,negative regulation of macrophage derived foam cell differentiation,negative regulation of lipid storage,cell growth,cell migration,extracellular matrix organization,positive regulation of cell migration,cell-substrate adhesion,negative regulation of lipid transport,cell adhesion mediated by integrin,positive regulation of osteoblast proliferation,heterotypic cell-cell adhesion,substrate adhesion-dependent cell spreading,endodermal cell differentiation,apolipoprotein A-I-mediated signaling pathway,apoptotic cell clearance,negative regulation of low-density lipoprotein particle receptor biosynthetic process,positive regulation of cell adhesion,viral entry into host cell,vascular endothelial growth factor receptor signaling pathway,negative regulation of lipoprotein metabolic process,regulation of phagocytosis,leukocyte migration,negative chemotaxis,entry of symbiont into host cell by promotion of host phagocytosis,ERK1 and ERK2 cascade,calcium ion transmembrane transport,extrinsic apoptotic signaling pathway in absence of ligand,regulation of apoptotic cell clearance,negative regulation of entry of bacterium into host cell,negative regulation of extrinsic apoptotic signaling pathway",5.81815641205523,"Red"
"2317","TN / DF","Q7LBR1","Q7LBR1",1.122183589,1.122183589,1.02e-06,1.55e-06,42,"Q7LBR1","CHMP1B","Charged multivesicular body protein 1b","CHM1B_HUMAN",3,117.6761869,2.176761869,"TN","DF","ESCRT III complex,cytosol,endosome membrane,membrane coat,late endosome membrane,extracellular exosome","protein binding,protein domain specific binding","cell separation after cytokinesis,nucleus organization,vacuolar transport,mitotic metaphase plate congression,regulation of centrosome duplication,protein transport,multivesicular body assembly,viral budding via host ESCRT complex,establishment of protein localization,cell division,regulation of mitotic spindle assembly,ESCRT III complex disassembly",5.80966830182971,"Red"
"2318","TP / DF","P00813","P00813",-1.317983817,1.317983817,6.7e-07,1.58e-06,196,"P00813","ADA","Adenosine deaminase","ADA_HUMAN",20,-59.89049176,0.401095082,"TP","DF","extracellular space,cytoplasm,lysosome,cytosol,plasma membrane,external side of plasma membrane,cell surface,membrane,cell junction,dendrite cytoplasm,neuronal cell body,cytoplasmic membrane-bounded vesicle lumen","purine nucleoside binding,adenosine deaminase activity,protein binding,zinc ion binding","response to hypoxia,histamine secretion,trophectodermal cell differentiation,liver development,placenta development,germinal center B cell differentiation,positive regulation of germinal center formation,negative regulation of leukocyte migration,negative regulation of mature B cell apoptotic process,adenosine catabolic process,deoxyadenosine catabolic process,aging,purine ribonucleoside monophosphate biosynthetic process,positive regulation of heart rate,positive regulation of B cell proliferation,purine nucleotide salvage,positive regulation of T cell differentiation in thymus,response to vitamin E,regulation of cell-cell adhesion mediated by integrin,T cell activation,negative regulation of circadian sleep/wake cycle, non-REM sleep,response to drug,response to hydrogen peroxide,purine-containing compound salvage,hypoxanthine salvage,response to morphine,positive regulation of smooth muscle contraction,dATP catabolic process,inosine biosynthetic process,xanthine biosynthetic process,positive regulation of alpha-beta T cell differentiation,lung alveolus development,Peyer's patch development,embryonic digestive tract development,negative regulation of inflammatory response,positive regulation of calcium-mediated signaling,positive regulation of T cell receptor signaling pathway,negative regulation of adenosine receptor signaling pathway,negative regulation of penile erection,negative regulation of thymocyte apoptotic process,negative regulation of mucus secretion",5.80134291304558,"Blue"
"2319","TN / DF","Q9NYU2","Q9NYU2",1.734145139,1.734145139,1.04e-06,1.58e-06,1078,"Q9NYU2","UGGT1","UDP-glucose:glycoprotein glucosyltransferase 1","UGGG1_HUMAN",69,232.6823064,3.326823064,"TN","DF","endoplasmic reticulum,endoplasmic reticulum lumen,endoplasmic reticulum-Golgi intermediate compartment,endoplasmic reticulum quality control compartment,extracellular exosome","UDP-glucose:glycoprotein glucosyltransferase activity,protein binding,unfolded protein binding","protein N-linked glycosylation via asparagine,endoplasmic reticulum unfolded protein response,'de novo' posttranslational protein folding,ER-associated misfolded protein catabolic process,UDP-glucosylation,endoplasmic reticulum mannose trimming",5.80134291304558,"Red"
"2320","Meta / DF","P48595","P48595",-4.445934712,4.445934712,8.11e-07,1.6e-06,140,"P48595","SERPINB10","Serpin B10","SPB10_HUMAN",19,-95.41182163,0.045881784,"Meta","DF","extracellular space,nucleus,cytoplasm","serine-type endopeptidase inhibitor activity","negative regulation of endopeptidase activity",5.79588001734407,"Blue"
"2321","TN / DF","Q9Y2E5","Q9Y2E5",-1.395135307,1.395135307,1.07e-06,1.63e-06,154,"Q9Y2E5","MAN2B2","Epididymis-specific alpha-mannosidase","MA2B2_HUMAN",15,-61.97909723,0.380209028,"TN","DF","lysosomal lumen,extracellular exosome","alpha-mannosidase activity,zinc ion binding,mannan endo-1,6-alpha-mannosidase activity,carbohydrate binding","mannose metabolic process,protein deglycosylation,oligosaccharide catabolic process",5.78781239559604,"Blue"
"2322","HER2 / DF","P55083","P55083",-1.959696254,1.959696254,1.08e-06,1.63e-06,70,"P55083","MFAP4","Microfibril-associated glycoprotein 4","MFAP4_HUMAN",4,-74.29174226,0.257082577,"HER2","DF","microfibril,extracellular region,extracellular matrix,extracellular exosome,elastic fiber","molecular_function,protein binding","cell adhesion,UV protection,regulation of collagen metabolic process,extracellular fibril organization,elastic fiber assembly,cellular response to UV-B",5.78781239559604,"Blue"
"2323","HER2 / DF","Q8NBJ4","Q8NBJ4",-0.811492792,0.811492792,1.09e-06,1.63e-06,238,"Q8NBJ4","GOLM1","Golgi membrane protein 1","GOLM1_HUMAN",21,-43.02080251,0.569791975,"HER2","DF","extracellular space,Golgi apparatus,integral component of plasma membrane,extracellular exosome","protein binding","nucleus organization,regulation of lipid metabolic process",5.78781239559604,"Blue"
"2324","ERPR / DF","O60716","O60716",1.347772594,1.347772594,9.58e-07,1.63e-06,686,"O60716","CTNND1","Catenin delta-1","CTND1_HUMAN",59,154.5188652,2.545188652,"ERPR","DF","nucleus,cytoplasm,cytosol,plasma membrane,cell-cell junction,cell-cell adherens junction,zonula adherens,lamellipodium,growth cone,midbody,dendritic spine,extracellular exosome","receptor binding,protein binding,protein kinase binding,cadherin binding,cadherin binding involved in cell-cell adhesion","transcription, DNA-templated,regulation of transcription, DNA-templated,cell adhesion,brain development,Wnt signaling pathway,single organismal cell-cell adhesion,adherens junction organization,negative regulation of canonical Wnt signaling pathway",5.78781239559604,"Red"
"2325","TP / DF","P23246","P23246",1.257809484,1.257809484,7.02e-07,1.65e-06,798,"P23246","SFPQ","Splicing factor, proline- and glutamine-rich","SFPQ_HUMAN",48,139.1323785,2.391323785,"TP","DF","chromatin,nucleus,nucleoplasm,cytoplasm,nuclear matrix,extracellular matrix,paraspeckles,RNA polymerase II transcription factor complex","nucleotide binding,transcription regulatory region sequence-specific DNA binding,RNA polymerase II distal enhancer sequence-specific DNA binding,core promoter binding,chromatin binding,protein binding,histone deacetylase binding,transcription regulatory region DNA binding,poly(A) RNA binding","negative regulation of transcription from RNA polymerase II promoter,alternative mRNA splicing, via spliceosome,double-strand break repair via homologous recombination,transcription, DNA-templated,mRNA processing,RNA splicing,regulation of circadian rhythm,negative regulation of circadian rhythm,positive regulation of sister chromatid cohesion,negative regulation of transcription, DNA-templated,rhythmic process,chromosome organization,histone H3 deacetylation,positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway",5.78251605578609,"Red"
"2326","TP / DF","P12111","P12111",-1.082143842,1.082143842,7.06e-07,1.65e-06,2548,"P12111","COL6A3","Collagen alpha-3(VI) chain","CO6A3_HUMAN",163,-52.76735747,0.472326425,"TP","DF","extracellular region,proteinaceous extracellular matrix,collagen type VI trimer,extracellular space,endoplasmic reticulum lumen,extracellular matrix,sarcolemma,extracellular exosome,extracellular vesicle","serine-type endopeptidase inhibitor activity","cell adhesion,muscle organ development,negative regulation of endopeptidase activity,extracellular matrix organization,collagen catabolic process",5.78251605578609,"Blue"
"2327","TP / DF","P49458","P49458",1.890343801,1.890343801,7.17e-07,1.68e-06,112,"P49458","SRP9","Signal recognition particle 9 kDa protein","SRP09_HUMAN",8,270.7235594,3.707235594,"TP","DF","signal recognition particle receptor complex,signal recognition particle, endoplasmic reticulum targeting,cytosol,extracellular exosome","RNA binding,signal recognition particle binding,protein binding,7S RNA binding","SRP-dependent cotranslational protein targeting to membrane,SRP-dependent cotranslational protein targeting to membrane, translocation,negative regulation of translational elongation",5.77469071827414,"Red"
"2328","HER2 / DF","P26927","P26927",-3.060653918,3.060653918,1.13e-06,1.69e-06,140,"P26927","MST1","Hepatocyte growth factor-like protein","HGFL_HUMAN",20,-88.01463225,0.119853678,"HER2","DF","extracellular region,extracellular space,extracellular exosome","molecular_function,serine-type endopeptidase activity,protein binding,receptor tyrosine kinase binding","proteolysis,biological_process,negative regulation of gluconeogenesis,hepatocyte growth factor receptor signaling pathway,regulation of cAMP-dependent protein kinase activity",5.77211329538633,"Blue"
"2329","ERPR / DF","P80511","P80511",-2.349655027,2.349655027,9.96e-07,1.7e-06,126,"P80511","S100A12","Protein S100-A12","S10AC_HUMAN",9,-80.38070681,0.196192932,"ERPR","DF","extracellular region,nucleus,cytoplasm,cytosol,cytoskeleton,plasma membrane","copper ion binding,calcium ion binding,protein binding,zinc ion binding,RAGE receptor binding","monocyte chemotaxis,xenobiotic metabolic process,inflammatory response,neutrophil chemotaxis,killing of cells of other organism,defense response to bacterium,positive regulation of I-kappaB kinase/NF-kappaB signaling,positive regulation of MAP kinase activity,innate immune response,mast cell activation,cytokine secretion,positive regulation of inflammatory response,defense response to fungus,positive regulation of NF-kappaB transcription factor activity",5.76955107862173,"Blue"
"2330","TN / DF","Q9NTK5","Q9NTK5",1.890481779,1.890481779,1.12e-06,1.7e-06,532,"Q9NTK5","OLA1","Obg-like ATPase 1","OLA1_HUMAN",38,270.7590167,3.707590167,"TN","DF","nucleolus,cytoplasm,centrosome,cell-cell adherens junction,membrane,extracellular exosome","ATP binding,GTP binding,ATPase activity,ribosome binding,ribosomal large subunit binding,metal ion binding,cadherin binding involved in cell-cell adhesion","ATP metabolic process,cell-cell adhesion",5.76955107862173,"Red"
"2331","Meta / DF","Q6UW68","Q6UW68",-1.860385425,1.860385425,8.62e-07,1.7e-06,70,"Q6UW68","TMEM205","Transmembrane protein 205","TM205_HUMAN",7,-72.45973064,0.275402694,"Meta","DF","integral component of membrane,extracellular exosome","","",5.76955107862173,"Blue"
"2332","TN / DF","P02792","P02792",2.937563819,2.937563819,1.13e-06,1.72e-06,420,"P02792","FTL","Ferritin light chain","FRIL_HUMAN",22,666.1165137,7.661165137,"TN","DF","cytoplasm,cytosol,intracellular ferritin complex,membrane,autolysosome,extracellular exosome","iron ion binding,protein binding,ferric iron binding,identical protein binding","iron ion transport,cellular iron ion homeostasis,intracellular sequestering of iron ion,iron ion homeostasis",5.76447155309245,"Red"
